device_id,household_id,device_type,model,firmware_version,installed_at
85,801,gate,GATE-10,1.0.0,2025-11-28
86,652,garage_door,GDO-200,2.0.0,2025-11-28
87,791,garage_door,GDO-200,1.1.0,2025-11-28
88,229,garage_door,GATE-10,1.0.0,2025-11-28
89,103,garage_door,GDO-200,2.0.0,2025-11-28
90,80,garage_door,GATE-10,2.0.0,2025-11-28
91,487,garage_door,GDO-100,2.0.0,2025-11-28
92,921,garage_door,GATE-10,2.0.0,2025-11-28
93,843,garage_door,GATE-10,1.0.0,2025-11-28
94,183,garage_door,GDO-100,1.1.0,2025-11-28
95,517,gate,GDO-200,1.1.0,2025-11-28
96,48,garage_door,GATE-10,2.0.0,2025-11-28
97,440,garage_door,GATE-10,2.0.0,2025-11-28
98,983,garage_door,GDO-100,1.1.0,2025-11-28
99,562,gate,GDO-100,1.0.0,2025-11-28
100,502,garage_door,GATE-10,2.0.0,2025-11-28
101,619,gate,GATE-10,1.0.0,2025-11-28
102,309,garage_door,GDO-100,1.0.0,2025-11-28
103,461,gate,GATE-10,1.1.0,2025-11-28
104,746,gate,GATE-10,1.1.0,2025-11-28
105,900,garage_door,GDO-100,1.0.0,2025-11-28
106,799,gate,GATE-10,2.0.0,2025-11-28
107,383,gate,GDO-100,1.1.0,2025-11-28
108,63,gate,GDO-200,1.0.0,2025-11-28
109,257,garage_door,GATE-10,2.0.0,2025-11-28
110,298,garage_door,GATE-10,1.1.0,2025-11-28
111,94,garage_door,GDO-200,2.0.0,2025-11-28
112,905,gate,GDO-100,1.1.0,2025-11-28
113,510,garage_door,GDO-100,1.1.0,2025-11-28
114,550,garage_door,GDO-200,1.1.0,2025-11-28
115,162,garage_door,GDO-100,1.1.0,2025-11-28
116,780,gate,GDO-200,1.0.0,2025-11-28
117,29,gate,GATE-10,1.1.0,2025-11-28
118,457,gate,GDO-100,1.1.0,2025-11-28
119,649,gate,GDO-200,1.0.0,2025-11-28
120,815,garage_door,GDO-100,2.0.0,2025-11-28
121,978,garage_door,GDO-200,1.0.0,2025-11-28
122,224,gate,GDO-200,1.1.0,2025-11-28
123,863,gate,GDO-100,1.0.0,2025-11-28
124,813,gate,GDO-200,1.0.0,2025-11-28
125,695,garage_door,GATE-10,1.0.0,2025-11-28
126,820,gate,GDO-200,1.0.0,2025-11-28
127,923,gate,GDO-200,1.0.0,2025-11-28
128,418,gate,GDO-100,2.0.0,2025-11-28
129,953,gate,GDO-100,1.0.0,2025-11-28
130,100,garage_door,GDO-100,2.0.0,2025-11-28
131,478,garage_door,GATE-10,1.0.0,2025-11-28
132,498,gate,GDO-100,1.0.0,2025-11-28
133,45,gate,GATE-10,1.0.0,2025-11-28
134,920,gate,GDO-200,1.0.0,2025-11-28
135,498,garage_door,GDO-200,1.1.0,2025-11-28
136,349,gate,GDO-200,1.0.0,2025-11-28
137,542,garage_door,GDO-100,1.0.0,2025-11-28
138,235,garage_door,GDO-100,1.0.0,2025-11-28
139,222,gate,GDO-200,2.0.0,2025-11-28
140,230,gate,GATE-10,1.1.0,2025-11-28
141,110,gate,GDO-100,2.0.0,2025-11-28
142,528,garage_door,GDO-100,2.0.0,2025-11-28
143,760,garage_door,GDO-100,2.0.0,2025-11-28
144,743,gate,GATE-10,1.1.0,2025-11-28
145,75,gate,GDO-100,2.0.0,2025-11-28
146,577,gate,GDO-200,2.0.0,2025-11-28
147,438,gate,GATE-10,1.1.0,2025-11-28
148,692,gate,GATE-10,2.0.0,2025-11-28
149,899,garage_door,GDO-200,1.0.0,2025-11-28
150,454,gate,GDO-100,2.0.0,2025-11-28
151,802,gate,GDO-200,2.0.0,2025-11-28
152,398,garage_door,GDO-100,1.1.0,2025-11-28
153,146,gate,GDO-100,1.0.0,2025-11-28
154,498,garage_door,GDO-200,2.0.0,2025-11-28
155,425,gate,GDO-100,1.1.0,2025-11-28
156,914,gate,GDO-100,2.0.0,2025-11-28
157,69,gate,GDO-100,1.1.0,2025-11-28
158,884,garage_door,GDO-100,2.0.0,2025-11-28
159,610,gate,GATE-10,2.0.0,2025-11-28
160,963,gate,GDO-200,2.0.0,2025-11-28
161,640,garage_door,GDO-200,1.0.0,2025-11-28
162,327,gate,GDO-100,2.0.0,2025-11-28
163,183,gate,GDO-200,1.0.0,2025-11-28
164,567,gate,GATE-10,1.1.0,2025-11-28
165,931,garage_door,GDO-100,1.1.0,2025-11-28
166,410,garage_door,GDO-200,1.0.0,2025-11-28
167,913,gate,GATE-10,1.0.0,2025-11-28
168,75,gate,GATE-10,2.0.0,2025-11-28
169,372,gate,GATE-10,1.1.0,2025-11-28
170,565,garage_door,GATE-10,2.0.0,2025-11-28
171,766,garage_door,GATE-10,2.0.0,2025-11-28
172,598,gate,GATE-10,1.0.0,2025-11-28
173,477,garage_door,GDO-100,2.0.0,2025-11-28
174,800,gate,GDO-200,2.0.0,2025-11-28
175,481,garage_door,GDO-100,1.1.0,2025-11-28
176,524,gate,GDO-100,1.0.0,2025-11-28
177,850,gate,GATE-10,1.1.0,2025-11-28
178,530,garage_door,GDO-100,2.0.0,2025-11-28
179,469,gate,GDO-200,2.0.0,2025-11-28
180,252,gate,GATE-10,1.0.0,2025-11-28
181,200,garage_door,GDO-100,2.0.0,2025-11-28
182,912,gate,GATE-10,2.0.0,2025-11-28
183,570,gate,GATE-10,1.0.0,2025-11-28
184,116,garage_door,GDO-200,1.0.0,2025-11-28
185,530,garage_door,GDO-200,1.1.0,2025-11-28
186,983,gate,GDO-100,2.0.0,2025-11-28
187,140,garage_door,GDO-100,1.0.0,2025-11-28
188,596,garage_door,GDO-200,1.1.0,2025-11-28
189,354,garage_door,GDO-200,2.0.0,2025-11-28
190,606,gate,GDO-200,1.0.0,2025-11-28
191,676,gate,GDO-100,1.1.0,2025-11-28
192,505,gate,GDO-200,2.0.0,2025-11-28
193,522,gate,GDO-200,1.1.0,2025-11-28
194,361,garage_door,GDO-100,1.0.0,2025-11-28
195,922,garage_door,GATE-10,1.1.0,2025-11-28
196,185,garage_door,GDO-200,1.0.0,2025-11-28
197,457,gate,GDO-100,1.1.0,2025-11-28
198,312,gate,GATE-10,2.0.0,2025-11-28
199,6,garage_door,GDO-200,1.1.0,2025-11-28
200,727,garage_door,GDO-100,1.1.0,2025-11-28
201,874,gate,GDO-200,1.0.0,2025-11-28
202,796,gate,GDO-100,1.0.0,2025-11-28
203,438,gate,GDO-200,1.1.0,2025-11-28
204,606,garage_door,GDO-200,1.1.0,2025-11-28
205,951,gate,GDO-100,1.1.0,2025-11-28
206,218,garage_door,GATE-10,1.1.0,2025-11-28
207,586,garage_door,GATE-10,1.1.0,2025-11-28
208,52,gate,GATE-10,2.0.0,2025-11-28
209,5,garage_door,GATE-10,2.0.0,2025-11-28
210,543,gate,GDO-200,2.0.0,2025-11-28
211,491,gate,GDO-200,2.0.0,2025-11-28
212,432,gate,GDO-100,1.1.0,2025-11-28
213,104,garage_door,GDO-200,1.0.0,2025-11-28
214,327,garage_door,GDO-200,2.0.0,2025-11-28
215,702,garage_door,GDO-200,2.0.0,2025-11-28
216,293,gate,GATE-10,1.0.0,2025-11-28
217,238,gate,GATE-10,1.1.0,2025-11-28
218,351,garage_door,GDO-100,1.1.0,2025-11-28
219,994,garage_door,GDO-100,1.0.0,2025-11-28
220,194,gate,GDO-100,2.0.0,2025-11-28
221,695,garage_door,GDO-200,2.0.0,2025-11-28
222,568,gate,GDO-100,1.1.0,2025-11-28
223,646,gate,GDO-200,2.0.0,2025-11-28
224,627,garage_door,GATE-10,1.0.0,2025-11-28
225,143,garage_door,GDO-100,1.0.0,2025-11-28
226,369,garage_door,GDO-100,1.1.0,2025-11-28
227,217,gate,GDO-100,2.0.0,2025-11-28
228,157,gate,GATE-10,2.0.0,2025-11-28
229,460,gate,GDO-200,2.0.0,2025-11-28
230,610,garage_door,GDO-200,1.1.0,2025-11-28
231,294,gate,GDO-100,1.0.0,2025-11-28
232,762,garage_door,GATE-10,2.0.0,2025-11-28
233,839,gate,GDO-100,1.1.0,2025-11-28
234,307,gate,GDO-200,1.1.0,2025-11-28
235,794,gate,GATE-10,2.0.0,2025-11-28
236,295,garage_door,GATE-10,2.0.0,2025-11-28
237,450,gate,GDO-200,1.0.0,2025-11-28
238,934,gate,GATE-10,1.1.0,2025-11-28
239,454,garage_door,GATE-10,1.1.0,2025-11-28
240,860,garage_door,GDO-100,2.0.0,2025-11-28
241,478,gate,GDO-100,2.0.0,2025-11-28
242,190,gate,GATE-10,1.1.0,2025-11-28
243,82,gate,GDO-200,2.0.0,2025-11-28
244,885,garage_door,GATE-10,1.0.0,2025-11-28
245,293,gate,GDO-100,1.1.0,2025-11-28
246,201,gate,GDO-200,1.0.0,2025-11-28
247,515,garage_door,GATE-10,1.0.0,2025-11-28
248,643,garage_door,GATE-10,2.0.0,2025-11-28
249,251,garage_door,GATE-10,1.1.0,2025-11-28
250,137,garage_door,GATE-10,2.0.0,2025-11-28
251,767,gate,GDO-200,1.0.0,2025-11-28
252,63,gate,GDO-200,2.0.0,2025-11-28
253,930,garage_door,GDO-200,2.0.0,2025-11-28
254,865,gate,GDO-100,1.0.0,2025-11-28
255,941,garage_door,GDO-100,1.1.0,2025-11-28
256,552,gate,GDO-200,1.0.0,2025-11-28
257,401,garage_door,GDO-100,2.0.0,2025-11-28
258,450,garage_door,GATE-10,1.1.0,2025-11-28
259,151,garage_door,GATE-10,2.0.0,2025-11-28
260,546,gate,GDO-200,1.0.0,2025-11-28
261,774,gate,GDO-200,1.0.0,2025-11-28
262,663,garage_door,GATE-10,1.0.0,2025-11-28
263,15,garage_door,GDO-100,1.1.0,2025-11-28
264,333,gate,GDO-100,1.0.0,2025-11-28
265,954,gate,GDO-200,1.1.0,2025-11-28
266,758,garage_door,GDO-100,1.0.0,2025-11-28
267,555,garage_door,GDO-200,1.1.0,2025-11-28
268,691,garage_door,GDO-200,2.0.0,2025-11-28
269,844,garage_door,GDO-200,2.0.0,2025-11-28
270,121,gate,GDO-200,1.1.0,2025-11-28
271,244,garage_door,GATE-10,2.0.0,2025-11-28
272,600,gate,GDO-100,1.1.0,2025-11-28
273,652,garage_door,GDO-200,1.0.0,2025-11-28
274,636,gate,GDO-100,1.1.0,2025-11-28
275,565,garage_door,GDO-200,1.1.0,2025-11-28
276,763,garage_door,GDO-200,1.1.0,2025-11-28
277,909,gate,GDO-100,2.0.0,2025-11-28
278,585,gate,GATE-10,1.1.0,2025-11-28
279,367,gate,GDO-200,1.0.0,2025-11-28
280,224,garage_door,GDO-200,1.0.0,2025-11-28
281,968,gate,GDO-100,2.0.0,2025-11-28
282,809,gate,GDO-100,2.0.0,2025-11-28
283,151,garage_door,GDO-200,1.0.0,2025-11-28
284,932,gate,GATE-10,2.0.0,2025-11-28
285,318,gate,GATE-10,1.1.0,2025-11-28
286,154,gate,GDO-200,1.0.0,2025-11-28
287,38,garage_door,GATE-10,1.1.0,2025-11-28
288,642,gate,GDO-200,2.0.0,2025-11-28
289,828,gate,GDO-100,2.0.0,2025-11-28
290,856,gate,GDO-100,2.0.0,2025-11-28
291,185,garage_door,GDO-200,1.1.0,2025-11-28
292,473,gate,GDO-200,1.1.0,2025-11-28
293,808,gate,GDO-100,2.0.0,2025-11-28
294,696,gate,GDO-200,1.0.0,2025-11-28
295,216,garage_door,GDO-200,2.0.0,2025-11-28
296,690,gate,GDO-100,2.0.0,2025-11-28
297,101,gate,GDO-100,1.1.0,2025-11-28
298,38,garage_door,GDO-200,1.0.0,2025-11-28
299,968,garage_door,GDO-200,1.1.0,2025-11-28
300,905,gate,GATE-10,1.0.0,2025-11-28
301,377,garage_door,GDO-100,1.0.0,2025-11-28
302,852,garage_door,GDO-200,1.1.0,2025-11-28
303,825,gate,GDO-100,1.1.0,2025-11-28
304,458,garage_door,GDO-100,1.1.0,2025-11-28
305,226,garage_door,GDO-200,2.0.0,2025-11-28
306,618,garage_door,GDO-200,1.1.0,2025-11-28
307,757,gate,GDO-200,1.0.0,2025-11-28
308,485,gate,GDO-200,1.1.0,2025-11-28
309,900,gate,GDO-100,1.1.0,2025-11-28
310,289,gate,GDO-100,2.0.0,2025-11-28
311,820,garage_door,GDO-200,1.0.0,2025-11-28
312,440,garage_door,GATE-10,2.0.0,2025-11-28
313,846,garage_door,GDO-100,1.0.0,2025-11-28
314,508,gate,GDO-200,1.0.0,2025-11-28
315,70,gate,GDO-200,1.1.0,2025-11-28
316,607,gate,GDO-200,1.1.0,2025-11-28
317,787,gate,GATE-10,1.0.0,2025-11-28
318,589,garage_door,GDO-200,1.0.0,2025-11-28
319,518,gate,GDO-200,2.0.0,2025-11-28
320,911,gate,GATE-10,1.0.0,2025-11-28
321,889,gate,GDO-100,1.1.0,2025-11-28
322,134,gate,GATE-10,1.1.0,2025-11-28
323,780,gate,GDO-200,1.1.0,2025-11-28
324,388,garage_door,GDO-100,1.0.0,2025-11-28
325,385,garage_door,GATE-10,2.0.0,2025-11-28
326,690,gate,GDO-200,2.0.0,2025-11-28
327,465,garage_door,GDO-100,1.1.0,2025-11-28
328,837,gate,GDO-200,1.1.0,2025-11-28
329,461,gate,GDO-100,2.0.0,2025-11-28
330,936,gate,GDO-200,2.0.0,2025-11-28
331,367,garage_door,GDO-200,1.0.0,2025-11-28
332,604,gate,GDO-200,1.1.0,2025-11-28
333,348,garage_door,GATE-10,2.0.0,2025-11-28
334,105,garage_door,GDO-100,1.1.0,2025-11-28
335,696,garage_door,GDO-100,1.1.0,2025-11-28
336,983,garage_door,GDO-100,2.0.0,2025-11-28
337,70,gate,GATE-10,2.0.0,2025-11-28
338,327,garage_door,GDO-200,1.1.0,2025-11-28
339,606,garage_door,GDO-100,1.0.0,2025-11-28
340,684,gate,GDO-100,2.0.0,2025-11-28
341,619,gate,GDO-100,1.1.0,2025-11-28
342,490,garage_door,GDO-200,1.1.0,2025-11-28
343,644,gate,GATE-10,1.1.0,2025-11-28
344,231,garage_door,GATE-10,1.1.0,2025-11-28
345,144,gate,GDO-100,1.0.0,2025-11-28
346,395,garage_door,GDO-200,2.0.0,2025-11-28
347,972,garage_door,GDO-200,2.0.0,2025-11-28
348,538,garage_door,GDO-100,1.0.0,2025-11-28
349,724,gate,GDO-200,1.0.0,2025-11-28
350,430,gate,GATE-10,1.0.0,2025-11-28
351,810,gate,GDO-200,1.1.0,2025-11-28
352,825,garage_door,GDO-100,2.0.0,2025-11-28
353,331,garage_door,GATE-10,2.0.0,2025-11-28
354,727,garage_door,GDO-100,1.0.0,2025-11-28
355,98,garage_door,GDO-100,2.0.0,2025-11-28
356,13,garage_door,GDO-200,1.1.0,2025-11-28
357,488,gate,GATE-10,2.0.0,2025-11-28
358,518,garage_door,GDO-100,2.0.0,2025-11-28
359,810,garage_door,GDO-200,1.0.0,2025-11-28
360,570,gate,GATE-10,1.0.0,2025-11-28
361,969,garage_door,GATE-10,2.0.0,2025-11-28
362,885,garage_door,GDO-200,2.0.0,2025-11-28
363,669,garage_door,GDO-200,1.0.0,2025-11-28
364,802,garage_door,GDO-200,1.0.0,2025-11-28
365,797,garage_door,GDO-100,1.1.0,2025-11-28
366,547,garage_door,GATE-10,1.1.0,2025-11-28
367,528,garage_door,GATE-10,1.0.0,2025-11-28
368,142,gate,GATE-10,1.0.0,2025-11-28
369,322,gate,GDO-200,1.0.0,2025-11-28
370,262,garage_door,GDO-100,2.0.0,2025-11-28
371,410,garage_door,GDO-100,1.1.0,2025-11-28
372,11,gate,GATE-10,1.0.0,2025-11-28
373,614,garage_door,GATE-10,1.0.0,2025-11-28
374,184,garage_door,GDO-100,2.0.0,2025-11-28
375,858,gate,GDO-200,2.0.0,2025-11-28
376,407,garage_door,GATE-10,1.1.0,2025-11-28
377,963,gate,GATE-10,2.0.0,2025-11-28
378,826,garage_door,GDO-200,1.1.0,2025-11-28
379,251,gate,GDO-100,1.0.0,2025-11-28
380,209,garage_door,GATE-10,2.0.0,2025-11-28
381,224,garage_door,GATE-10,1.1.0,2025-11-28
382,855,garage_door,GDO-100,2.0.0,2025-11-28
383,217,gate,GATE-10,1.0.0,2025-11-28
384,330,gate,GDO-200,1.1.0,2025-11-28
385,759,gate,GATE-10,2.0.0,2025-11-28
386,232,gate,GDO-100,1.1.0,2025-11-28
387,788,garage_door,GDO-200,2.0.0,2025-11-28
388,508,garage_door,GATE-10,1.0.0,2025-11-28
389,681,garage_door,GDO-200,2.0.0,2025-11-28
390,760,gate,GDO-100,1.0.0,2025-11-28
391,760,gate,GDO-200,2.0.0,2025-11-28
392,917,gate,GATE-10,1.0.0,2025-11-28
393,472,garage_door,GDO-200,2.0.0,2025-11-28
394,226,gate,GDO-100,2.0.0,2025-11-28
395,373,gate,GDO-100,1.0.0,2025-11-28
396,738,garage_door,GDO-200,1.1.0,2025-11-28
397,623,gate,GATE-10,2.0.0,2025-11-28
398,474,garage_door,GDO-100,1.1.0,2025-11-28
399,404,garage_door,GDO-200,2.0.0,2025-11-28
400,924,garage_door,GATE-10,1.1.0,2025-11-28
401,317,garage_door,GATE-10,1.1.0,2025-11-28
402,902,garage_door,GATE-10,2.0.0,2025-11-28
403,793,gate,GATE-10,1.1.0,2025-11-28
404,143,garage_door,GDO-100,1.0.0,2025-11-28
405,971,gate,GDO-200,1.0.0,2025-11-28
406,354,gate,GDO-100,1.0.0,2025-11-28
407,748,garage_door,GDO-200,1.1.0,2025-11-28
408,110,garage_door,GDO-200,1.0.0,2025-11-28
409,547,garage_door,GDO-200,2.0.0,2025-11-28
410,627,garage_door,GDO-200,2.0.0,2025-11-28
411,219,gate,GATE-10,1.1.0,2025-11-28
412,252,gate,GDO-100,2.0.0,2025-11-28
413,861,gate,GDO-200,1.0.0,2025-11-28
414,425,garage_door,GDO-200,2.0.0,2025-11-28
415,30,gate,GATE-10,2.0.0,2025-11-28
416,117,gate,GATE-10,2.0.0,2025-11-28
417,739,gate,GDO-200,2.0.0,2025-11-28
418,816,garage_door,GDO-100,1.1.0,2025-11-28
419,973,gate,GDO-200,2.0.0,2025-11-28
420,984,gate,GDO-100,1.1.0,2025-11-28
421,620,gate,GATE-10,1.0.0,2025-11-28
422,385,garage_door,GATE-10,1.0.0,2025-11-28
423,59,gate,GATE-10,2.0.0,2025-11-28
424,444,garage_door,GDO-200,1.1.0,2025-11-28
425,446,garage_door,GDO-100,2.0.0,2025-11-28
426,826,gate,GDO-200,1.1.0,2025-11-28
427,202,gate,GDO-100,2.0.0,2025-11-28
428,523,gate,GDO-200,1.1.0,2025-11-28
429,313,gate,GATE-10,1.0.0,2025-11-28
430,483,garage_door,GDO-200,2.0.0,2025-11-28
431,42,garage_door,GDO-200,2.0.0,2025-11-28
432,615,gate,GDO-100,1.1.0,2025-11-28
433,393,gate,GATE-10,1.1.0,2025-11-28
434,360,gate,GDO-200,2.0.0,2025-11-28
435,833,garage_door,GATE-10,2.0.0,2025-11-28
436,352,gate,GATE-10,1.0.0,2025-11-28
437,697,gate,GATE-10,1.0.0,2025-11-28
438,29,garage_door,GDO-100,1.1.0,2025-11-28
439,630,gate,GDO-100,2.0.0,2025-11-28
440,286,gate,GDO-200,1.1.0,2025-11-28
441,452,gate,GDO-200,2.0.0,2025-11-28
442,878,garage_door,GDO-100,2.0.0,2025-11-28
443,870,garage_door,GDO-100,1.0.0,2025-11-28
444,67,garage_door,GATE-10,2.0.0,2025-11-28
445,149,gate,GATE-10,1.1.0,2025-11-28
446,748,gate,GDO-200,1.0.0,2025-11-28
447,330,gate,GDO-200,1.0.0,2025-11-28
448,663,gate,GDO-200,1.1.0,2025-11-28
449,844,garage_door,GDO-100,2.0.0,2025-11-28
450,363,gate,GDO-200,1.0.0,2025-11-28
451,716,gate,GDO-100,1.0.0,2025-11-28
452,662,gate,GDO-100,1.0.0,2025-11-28
453,980,garage_door,GDO-200,1.1.0,2025-11-28
454,523,garage_door,GATE-10,2.0.0,2025-11-28
455,339,gate,GDO-100,2.0.0,2025-11-28
456,523,garage_door,GDO-200,1.1.0,2025-11-28
457,82,gate,GDO-200,1.0.0,2025-11-28
458,290,garage_door,GDO-200,2.0.0,2025-11-28
459,759,gate,GATE-10,1.0.0,2025-11-28
460,460,garage_door,GDO-100,2.0.0,2025-11-28
461,270,garage_door,GATE-10,2.0.0,2025-11-28
462,792,garage_door,GATE-10,2.0.0,2025-11-28
463,364,garage_door,GDO-100,1.0.0,2025-11-28
464,128,gate,GDO-200,1.0.0,2025-11-28
465,302,garage_door,GDO-200,2.0.0,2025-11-28
466,145,gate,GDO-200,1.0.0,2025-11-28
467,231,gate,GDO-100,1.1.0,2025-11-28
468,383,gate,GDO-200,2.0.0,2025-11-28
469,826,garage_door,GATE-10,1.1.0,2025-11-28
470,909,gate,GDO-200,1.0.0,2025-11-28
471,18,gate,GATE-10,2.0.0,2025-11-28
472,62,garage_door,GDO-100,1.0.0,2025-11-28
473,554,gate,GATE-10,1.0.0,2025-11-28
474,220,gate,GDO-100,1.0.0,2025-11-28
475,834,garage_door,GDO-100,1.1.0,2025-11-28
476,523,garage_door,GATE-10,1.1.0,2025-11-28
477,664,garage_door,GDO-100,2.0.0,2025-11-28
478,672,garage_door,GDO-200,2.0.0,2025-11-28
479,393,gate,GDO-200,1.0.0,2025-11-28
480,858,garage_door,GATE-10,1.1.0,2025-11-28
481,238,gate,GDO-100,1.0.0,2025-11-28
482,996,garage_door,GDO-200,1.1.0,2025-11-28
483,884,garage_door,GATE-10,2.0.0,2025-11-28
484,472,garage_door,GDO-200,1.0.0,2025-11-28
485,146,garage_door,GATE-10,1.0.0,2025-11-28
486,835,garage_door,GATE-10,2.0.0,2025-11-28
487,612,garage_door,GDO-200,1.0.0,2025-11-28
488,224,garage_door,GATE-10,1.0.0,2025-11-28
489,454,gate,GATE-10,1.0.0,2025-11-28
490,2,garage_door,GDO-200,1.1.0,2025-11-28
491,451,garage_door,GDO-100,1.1.0,2025-11-28
492,195,garage_door,GDO-100,1.0.0,2025-11-28
493,193,garage_door,GDO-200,1.1.0,2025-11-28
494,157,gate,GATE-10,1.0.0,2025-11-28
495,472,gate,GATE-10,1.1.0,2025-11-28
496,265,gate,GDO-200,1.1.0,2025-11-28
497,211,garage_door,GDO-100,2.0.0,2025-11-28
498,969,garage_door,GDO-100,2.0.0,2025-11-28
499,970,gate,GDO-200,1.0.0,2025-11-28
500,421,garage_door,GDO-200,1.0.0,2025-11-28
501,612,garage_door,GATE-10,1.0.0,2025-11-28
502,979,garage_door,GATE-10,1.1.0,2025-11-28
503,925,garage_door,GDO-200,1.1.0,2025-11-28
504,921,gate,GDO-200,2.0.0,2025-11-28
505,832,gate,GDO-100,1.0.0,2025-11-28
506,544,gate,GDO-200,1.0.0,2025-11-28
507,587,gate,GATE-10,1.0.0,2025-11-28
508,557,garage_door,GATE-10,2.0.0,2025-11-28
509,354,gate,GATE-10,1.1.0,2025-11-28
510,191,gate,GDO-200,2.0.0,2025-11-28
511,874,gate,GATE-10,2.0.0,2025-11-28
512,849,gate,GDO-200,1.1.0,2025-11-28
513,313,gate,GATE-10,1.1.0,2025-11-28
514,958,gate,GATE-10,1.1.0,2025-11-28
515,989,gate,GDO-200,1.1.0,2025-11-28
516,814,garage_door,GATE-10,2.0.0,2025-11-28
517,282,garage_door,GATE-10,1.0.0,2025-11-28
