household_id,region,timezone
227,US-East,America/Chicago
228,US-West,America/Chicago
229,US-West,America/Chicago
230,US-West,America/Chicago
231,US-Midwest,America/Chicago
232,US-West,America/Chicago
233,US-East,America/Chicago
234,US-West,America/Chicago
235,US-East,America/Chicago
236,US-East,America/Chicago
237,US-Midwest,America/Chicago
238,US-West,America/Chicago
239,US-East,America/Chicago
240,US-West,America/Chicago
241,US-Midwest,America/Chicago
242,US-Midwest,America/Chicago
243,US-East,America/Chicago
244,US-East,America/Chicago
245,US-Midwest,America/Chicago
246,US-Midwest,America/Chicago
247,US-West,America/Chicago
248,US-East,America/Chicago
249,US-East,America/Chicago
250,US-Midwest,America/Chicago
251,US-West,America/Chicago
252,US-East,America/Chicago
253,US-East,America/Chicago
254,US-Midwest,America/Chicago
255,US-West,America/Chicago
256,US-West,America/Chicago
257,US-East,America/Chicago
258,US-West,America/Chicago
259,US-East,America/Chicago
260,US-West,America/Chicago
261,US-East,America/Chicago
262,US-East,America/Chicago
263,US-Midwest,America/Chicago
264,US-East,America/Chicago
265,US-West,America/Chicago
266,US-Midwest,America/Chicago
267,US-West,America/Chicago
268,US-West,America/Chicago
269,US-Midwest,America/Chicago
270,US-West,America/Chicago
271,US-East,America/Chicago
272,US-Midwest,America/Chicago
273,US-East,America/Chicago
274,US-West,America/Chicago
275,US-Midwest,America/Chicago
276,US-Midwest,America/Chicago
277,US-Midwest,America/Chicago
278,US-Midwest,America/Chicago
279,US-Midwest,America/Chicago
280,US-East,America/Chicago
281,US-East,America/Chicago
282,US-West,America/Chicago
283,US-West,America/Chicago
284,US-East,America/Chicago
285,US-West,America/Chicago
286,US-West,America/Chicago
287,US-Midwest,America/Chicago
288,US-Midwest,America/Chicago
289,US-West,America/Chicago
290,US-East,America/Chicago
291,US-Midwest,America/Chicago
292,US-East,America/Chicago
293,US-East,America/Chicago
294,US-East,America/Chicago
295,US-Midwest,America/Chicago
296,US-Midwest,America/Chicago
297,US-Midwest,America/Chicago
298,US-West,America/Chicago
299,US-East,America/Chicago
300,US-East,America/Chicago
301,US-East,America/Chicago
302,US-Midwest,America/Chicago
303,US-Midwest,America/Chicago
304,US-East,America/Chicago
305,US-Midwest,America/Chicago
306,US-West,America/Chicago
307,US-East,America/Chicago
308,US-East,America/Chicago
309,US-West,America/Chicago
310,US-West,America/Chicago
311,US-West,America/Chicago
312,US-East,America/Chicago
313,US-West,America/Chicago
314,US-East,America/Chicago
315,US-Midwest,America/Chicago
316,US-West,America/Chicago
317,US-West,America/Chicago
318,US-Midwest,America/Chicago
319,US-West,America/Chicago
320,US-West,America/Chicago
321,US-Midwest,America/Chicago
322,US-East,America/Chicago
323,US-East,America/Chicago
324,US-East,America/Chicago
325,US-East,America/Chicago
326,US-West,America/Chicago
327,US-West,America/Chicago
328,US-West,America/Chicago
329,US-West,America/Chicago
330,US-West,America/Chicago
331,US-West,America/Chicago
332,US-East,America/Chicago
333,US-East,America/Chicago
334,US-West,America/Chicago
335,US-East,America/Chicago
336,US-East,America/Chicago
337,US-East,America/Chicago
338,US-East,America/Chicago
339,US-West,America/Chicago
340,US-West,America/Chicago
341,US-Midwest,America/Chicago
342,US-West,America/Chicago
343,US-Midwest,America/Chicago
344,US-West,America/Chicago
345,US-Midwest,America/Chicago
346,US-Midwest,America/Chicago
347,US-East,America/Chicago
348,US-East,America/Chicago
349,US-East,America/Chicago
350,US-East,America/Chicago
351,US-West,America/Chicago
352,US-Midwest,America/Chicago
353,US-West,America/Chicago
354,US-Midwest,America/Chicago
355,US-Midwest,America/Chicago
356,US-East,America/Chicago
357,US-Midwest,America/Chicago
358,US-West,America/Chicago
359,US-West,America/Chicago
360,US-East,America/Chicago
361,US-Midwest,America/Chicago
362,US-West,America/Chicago
363,US-East,America/Chicago
364,US-East,America/Chicago
365,US-East,America/Chicago
366,US-West,America/Chicago
367,US-West,America/Chicago
368,US-East,America/Chicago
369,US-West,America/Chicago
370,US-West,America/Chicago
371,US-West,America/Chicago
372,US-Midwest,America/Chicago
373,US-Midwest,America/Chicago
374,US-West,America/Chicago
375,US-West,America/Chicago
376,US-East,America/Chicago
377,US-Midwest,America/Chicago
378,US-West,America/Chicago
379,US-West,America/Chicago
380,US-East,America/Chicago
381,US-Midwest,America/Chicago
382,US-West,America/Chicago
383,US-West,America/Chicago
384,US-East,America/Chicago
385,US-Midwest,America/Chicago
386,US-East,America/Chicago
387,US-East,America/Chicago
388,US-West,America/Chicago
389,US-West,America/Chicago
390,US-East,America/Chicago
391,US-Midwest,America/Chicago
392,US-West,America/Chicago
393,US-East,America/Chicago
394,US-West,America/Chicago
395,US-East,America/Chicago
396,US-Midwest,America/Chicago
397,US-West,America/Chicago
398,US-West,America/Chicago
399,US-East,America/Chicago
400,US-Midwest,America/Chicago
401,US-East,America/Chicago
402,US-Midwest,America/Chicago
403,US-West,America/Chicago
404,US-East,America/Chicago
405,US-West,America/Chicago
406,US-East,America/Chicago
407,US-West,America/Chicago
408,US-Midwest,America/Chicago
409,US-West,America/Chicago
410,US-Midwest,America/Chicago
411,US-Midwest,America/Chicago
412,US-West,America/Chicago
413,US-West,America/Chicago
414,US-Midwest,America/Chicago
415,US-West,America/Chicago
416,US-East,America/Chicago
417,US-East,America/Chicago
418,US-East,America/Chicago
419,US-East,America/Chicago
420,US-East,America/Chicago
421,US-Midwest,America/Chicago
422,US-Midwest,America/Chicago
423,US-East,America/Chicago
424,US-East,America/Chicago
425,US-West,America/Chicago
426,US-East,America/Chicago
427,US-Midwest,America/Chicago
428,US-West,America/Chicago
429,US-West,America/Chicago
430,US-Midwest,America/Chicago
431,US-East,America/Chicago
432,US-East,America/Chicago
433,US-East,America/Chicago
434,US-West,America/Chicago
435,US-Midwest,America/Chicago
436,US-East,America/Chicago
437,US-West,America/Chicago
438,US-West,America/Chicago
439,US-Midwest,America/Chicago
440,US-East,America/Chicago
441,US-East,America/Chicago
442,US-West,America/Chicago
443,US-Midwest,America/Chicago
444,US-Midwest,America/Chicago
445,US-Midwest,America/Chicago
446,US-East,America/Chicago
447,US-West,America/Chicago
448,US-East,America/Chicago
449,US-Midwest,America/Chicago
450,US-Midwest,America/Chicago
451,US-West,America/Chicago
452,US-West,America/Chicago
453,US-East,America/Chicago
454,US-West,America/Chicago
455,US-East,America/Chicago
456,US-East,America/Chicago
457,US-Midwest,America/Chicago
458,US-West,America/Chicago
459,US-Midwest,America/Chicago
460,US-Midwest,America/Chicago
461,US-West,America/Chicago
462,US-Midwest,America/Chicago
463,US-East,America/Chicago
464,US-Midwest,America/Chicago
465,US-East,America/Chicago
466,US-West,America/Chicago
467,US-East,America/Chicago
468,US-East,America/Chicago
469,US-East,America/Chicago
470,US-Midwest,America/Chicago
471,US-West,America/Chicago
472,US-West,America/Chicago
473,US-West,America/Chicago
474,US-Midwest,America/Chicago
475,US-Midwest,America/Chicago
476,US-East,America/Chicago
477,US-East,America/Chicago
478,US-West,America/Chicago
479,US-Midwest,America/Chicago
480,US-West,America/Chicago
481,US-Midwest,America/Chicago
482,US-East,America/Chicago
483,US-West,America/Chicago
484,US-East,America/Chicago
485,US-West,America/Chicago
486,US-Midwest,America/Chicago
487,US-West,America/Chicago
488,US-East,America/Chicago
489,US-Midwest,America/Chicago
490,US-Midwest,America/Chicago
491,US-West,America/Chicago
492,US-East,America/Chicago
493,US-West,America/Chicago
494,US-West,America/Chicago
495,US-Midwest,America/Chicago
496,US-Midwest,America/Chicago
497,US-East,America/Chicago
498,US-Midwest,America/Chicago
499,US-Midwest,America/Chicago
500,US-West,America/Chicago
501,US-West,America/Chicago
502,US-Midwest,America/Chicago
503,US-Midwest,America/Chicago
504,US-East,America/Chicago
505,US-West,America/Chicago
506,US-West,America/Chicago
507,US-East,America/Chicago
508,US-Midwest,America/Chicago
509,US-West,America/Chicago
510,US-East,America/Chicago
511,US-Midwest,America/Chicago
512,US-West,America/Chicago
513,US-West,America/Chicago
514,US-West,America/Chicago
515,US-West,America/Chicago
516,US-Midwest,America/Chicago
517,US-East,America/Chicago
518,US-Midwest,America/Chicago
519,US-East,America/Chicago
520,US-Midwest,America/Chicago
521,US-East,America/Chicago
522,US-West,America/Chicago
523,US-West,America/Chicago
524,US-Midwest,America/Chicago
525,US-East,America/Chicago
526,US-West,America/Chicago
527,US-East,America/Chicago
528,US-West,America/Chicago
529,US-East,America/Chicago
530,US-East,America/Chicago
531,US-East,America/Chicago
532,US-West,America/Chicago
533,US-West,America/Chicago
534,US-East,America/Chicago
535,US-Midwest,America/Chicago
536,US-East,America/Chicago
537,US-Midwest,America/Chicago
538,US-Midwest,America/Chicago
539,US-Midwest,America/Chicago
540,US-West,America/Chicago
541,US-East,America/Chicago
542,US-East,America/Chicago
543,US-East,America/Chicago
544,US-West,America/Chicago
545,US-East,America/Chicago
546,US-West,America/Chicago
547,US-Midwest,America/Chicago
548,US-East,America/Chicago
549,US-East,America/Chicago
550,US-Midwest,America/Chicago
551,US-West,America/Chicago
552,US-West,America/Chicago
553,US-Midwest,America/Chicago
554,US-West,America/Chicago
555,US-West,America/Chicago
556,US-West,America/Chicago
557,US-West,America/Chicago
558,US-East,America/Chicago
559,US-East,America/Chicago
560,US-West,America/Chicago
561,US-Midwest,America/Chicago
562,US-Midwest,America/Chicago
563,US-West,America/Chicago
564,US-Midwest,America/Chicago
565,US-East,America/Chicago
566,US-Midwest,America/Chicago
567,US-West,America/Chicago
568,US-East,America/Chicago
569,US-East,America/Chicago
570,US-West,America/Chicago
571,US-East,America/Chicago
572,US-East,America/Chicago
573,US-West,America/Chicago
574,US-West,America/Chicago
575,US-West,America/Chicago
576,US-Midwest,America/Chicago
577,US-East,America/Chicago
578,US-West,America/Chicago
579,US-East,America/Chicago
580,US-Midwest,America/Chicago
581,US-West,America/Chicago
582,US-West,America/Chicago
583,US-East,America/Chicago
584,US-East,America/Chicago
585,US-East,America/Chicago
586,US-Midwest,America/Chicago
587,US-East,America/Chicago
588,US-Midwest,America/Chicago
589,US-West,America/Chicago
590,US-Midwest,America/Chicago
591,US-East,America/Chicago
592,US-East,America/Chicago
593,US-East,America/Chicago
594,US-West,America/Chicago
595,US-Midwest,America/Chicago
596,US-West,America/Chicago
597,US-Midwest,America/Chicago
598,US-West,America/Chicago
599,US-East,America/Chicago
600,US-Midwest,America/Chicago
601,US-Midwest,America/Chicago
602,US-Midwest,America/Chicago
603,US-West,America/Chicago
604,US-Midwest,America/Chicago
605,US-Midwest,America/Chicago
606,US-West,America/Chicago
607,US-West,America/Chicago
608,US-West,America/Chicago
609,US-East,America/Chicago
610,US-Midwest,America/Chicago
611,US-East,America/Chicago
612,US-West,America/Chicago
613,US-West,America/Chicago
614,US-West,America/Chicago
615,US-West,America/Chicago
616,US-West,America/Chicago
617,US-Midwest,America/Chicago
618,US-Midwest,America/Chicago
619,US-Midwest,America/Chicago
620,US-Midwest,America/Chicago
621,US-West,America/Chicago
622,US-East,America/Chicago
623,US-West,America/Chicago
624,US-East,America/Chicago
625,US-West,America/Chicago
626,US-Midwest,America/Chicago
627,US-Midwest,America/Chicago
628,US-East,America/Chicago
629,US-Midwest,America/Chicago
630,US-Midwest,America/Chicago
631,US-Midwest,America/Chicago
632,US-Midwest,America/Chicago
633,US-East,America/Chicago
634,US-Midwest,America/Chicago
635,US-Midwest,America/Chicago
636,US-West,America/Chicago
637,US-West,America/Chicago
638,US-West,America/Chicago
639,US-East,America/Chicago
640,US-Midwest,America/Chicago
641,US-Midwest,America/Chicago
642,US-Midwest,America/Chicago
643,US-West,America/Chicago
644,US-West,America/Chicago
645,US-West,America/Chicago
646,US-West,America/Chicago
647,US-Midwest,America/Chicago
648,US-West,America/Chicago
649,US-East,America/Chicago
650,US-West,America/Chicago
651,US-Midwest,America/Chicago
652,US-East,America/Chicago
653,US-West,America/Chicago
654,US-East,America/Chicago
655,US-East,America/Chicago
656,US-East,America/Chicago
657,US-East,America/Chicago
658,US-West,America/Chicago
659,US-East,America/Chicago
660,US-Midwest,America/Chicago
661,US-West,America/Chicago
662,US-East,America/Chicago
663,US-West,America/Chicago
664,US-East,America/Chicago
665,US-East,America/Chicago
666,US-West,America/Chicago
667,US-East,America/Chicago
668,US-Midwest,America/Chicago
669,US-West,America/Chicago
670,US-East,America/Chicago
671,US-Midwest,America/Chicago
672,US-West,America/Chicago
673,US-Midwest,America/Chicago
674,US-West,America/Chicago
675,US-East,America/Chicago
676,US-West,America/Chicago
677,US-East,America/Chicago
678,US-West,America/Chicago
679,US-West,America/Chicago
680,US-Midwest,America/Chicago
681,US-Midwest,America/Chicago
682,US-Midwest,America/Chicago
683,US-Midwest,America/Chicago
684,US-West,America/Chicago
685,US-West,America/Chicago
686,US-West,America/Chicago
687,US-West,America/Chicago
688,US-Midwest,America/Chicago
689,US-Midwest,America/Chicago
690,US-West,America/Chicago
691,US-West,America/Chicago
692,US-West,America/Chicago
693,US-West,America/Chicago
694,US-East,America/Chicago
695,US-East,America/Chicago
696,US-East,America/Chicago
697,US-East,America/Chicago
698,US-West,America/Chicago
699,US-Midwest,America/Chicago
700,US-Midwest,America/Chicago
701,US-East,America/Chicago
702,US-East,America/Chicago
703,US-Midwest,America/Chicago
704,US-East,America/Chicago
705,US-West,America/Chicago
706,US-East,America/Chicago
707,US-Midwest,America/Chicago
708,US-Midwest,America/Chicago
709,US-East,America/Chicago
710,US-West,America/Chicago
711,US-West,America/Chicago
712,US-East,America/Chicago
713,US-Midwest,America/Chicago
714,US-West,America/Chicago
715,US-Midwest,America/Chicago
716,US-West,America/Chicago
717,US-West,America/Chicago
718,US-East,America/Chicago
719,US-Midwest,America/Chicago
720,US-Midwest,America/Chicago
721,US-Midwest,America/Chicago
722,US-West,America/Chicago
723,US-Midwest,America/Chicago
724,US-Midwest,America/Chicago
725,US-West,America/Chicago
726,US-East,America/Chicago
727,US-East,America/Chicago
728,US-East,America/Chicago
729,US-West,America/Chicago
730,US-West,America/Chicago
731,US-West,America/Chicago
732,US-East,America/Chicago
733,US-Midwest,America/Chicago
734,US-West,America/Chicago
735,US-West,America/Chicago
736,US-Midwest,America/Chicago
737,US-East,America/Chicago
738,US-Midwest,America/Chicago
739,US-Midwest,America/Chicago
740,US-Midwest,America/Chicago
741,US-West,America/Chicago
742,US-West,America/Chicago
743,US-Midwest,America/Chicago
744,US-Midwest,America/Chicago
745,US-Midwest,America/Chicago
746,US-East,America/Chicago
747,US-Midwest,America/Chicago
748,US-West,America/Chicago
749,US-East,America/Chicago
750,US-West,America/Chicago
751,US-East,America/Chicago
752,US-Midwest,America/Chicago
753,US-East,America/Chicago
754,US-East,America/Chicago
755,US-East,America/Chicago
756,US-West,America/Chicago
757,US-Midwest,America/Chicago
758,US-Midwest,America/Chicago
759,US-Midwest,America/Chicago
760,US-East,America/Chicago
761,US-East,America/Chicago
762,US-Midwest,America/Chicago
763,US-West,America/Chicago
764,US-East,America/Chicago
765,US-West,America/Chicago
766,US-West,America/Chicago
767,US-Midwest,America/Chicago
768,US-West,America/Chicago
769,US-East,America/Chicago
770,US-Midwest,America/Chicago
771,US-West,America/Chicago
772,US-Midwest,America/Chicago
773,US-West,America/Chicago
774,US-West,America/Chicago
775,US-East,America/Chicago
776,US-East,America/Chicago
777,US-East,America/Chicago
778,US-Midwest,America/Chicago
779,US-East,America/Chicago
780,US-East,America/Chicago
781,US-East,America/Chicago
782,US-West,America/Chicago
783,US-East,America/Chicago
784,US-Midwest,America/Chicago
785,US-West,America/Chicago
786,US-West,America/Chicago
787,US-West,America/Chicago
788,US-Midwest,America/Chicago
789,US-West,America/Chicago
790,US-West,America/Chicago
791,US-Midwest,America/Chicago
792,US-West,America/Chicago
793,US-East,America/Chicago
794,US-East,America/Chicago
795,US-West,America/Chicago
796,US-West,America/Chicago
797,US-West,America/Chicago
798,US-Midwest,America/Chicago
799,US-Midwest,America/Chicago
800,US-Midwest,America/Chicago
801,US-East,America/Chicago
802,US-West,America/Chicago
803,US-Midwest,America/Chicago
804,US-Midwest,America/Chicago
805,US-East,America/Chicago
806,US-West,America/Chicago
807,US-West,America/Chicago
808,US-West,America/Chicago
809,US-West,America/Chicago
810,US-East,America/Chicago
811,US-Midwest,America/Chicago
812,US-Midwest,America/Chicago
813,US-Midwest,America/Chicago
814,US-East,America/Chicago
815,US-East,America/Chicago
816,US-Midwest,America/Chicago
817,US-East,America/Chicago
818,US-East,America/Chicago
819,US-Midwest,America/Chicago
820,US-East,America/Chicago
821,US-Midwest,America/Chicago
822,US-East,America/Chicago
823,US-Midwest,America/Chicago
824,US-West,America/Chicago
825,US-East,America/Chicago
826,US-Midwest,America/Chicago
827,US-West,America/Chicago
828,US-West,America/Chicago
829,US-East,America/Chicago
830,US-West,America/Chicago
831,US-East,America/Chicago
832,US-East,America/Chicago
833,US-West,America/Chicago
834,US-Midwest,America/Chicago
835,US-West,America/Chicago
836,US-West,America/Chicago
837,US-Midwest,America/Chicago
838,US-West,America/Chicago
839,US-Midwest,America/Chicago
840,US-East,America/Chicago
841,US-Midwest,America/Chicago
842,US-East,America/Chicago
843,US-Midwest,America/Chicago
844,US-East,America/Chicago
845,US-Midwest,America/Chicago
846,US-West,America/Chicago
847,US-West,America/Chicago
848,US-Midwest,America/Chicago
849,US-Midwest,America/Chicago
850,US-West,America/Chicago
851,US-Midwest,America/Chicago
852,US-West,America/Chicago
853,US-West,America/Chicago
854,US-Midwest,America/Chicago
855,US-East,America/Chicago
856,US-Midwest,America/Chicago
857,US-East,America/Chicago
858,US-East,America/Chicago
859,US-East,America/Chicago
860,US-West,America/Chicago
861,US-East,America/Chicago
862,US-Midwest,America/Chicago
863,US-West,America/Chicago
864,US-East,America/Chicago
865,US-East,America/Chicago
866,US-East,America/Chicago
867,US-Midwest,America/Chicago
868,US-Midwest,America/Chicago
869,US-Midwest,America/Chicago
870,US-Midwest,America/Chicago
871,US-Midwest,America/Chicago
872,US-East,America/Chicago
873,US-Midwest,America/Chicago
874,US-West,America/Chicago
875,US-Midwest,America/Chicago
876,US-East,America/Chicago
877,US-East,America/Chicago
878,US-East,America/Chicago
879,US-Midwest,America/Chicago
880,US-Midwest,America/Chicago
881,US-West,America/Chicago
882,US-West,America/Chicago
883,US-East,America/Chicago
884,US-West,America/Chicago
885,US-West,America/Chicago
886,US-West,America/Chicago
887,US-West,America/Chicago
888,US-East,America/Chicago
889,US-East,America/Chicago
890,US-Midwest,America/Chicago
891,US-Midwest,America/Chicago
892,US-Midwest,America/Chicago
893,US-West,America/Chicago
894,US-East,America/Chicago
895,US-West,America/Chicago
896,US-East,America/Chicago
897,US-West,America/Chicago
898,US-West,America/Chicago
899,US-East,America/Chicago
900,US-Midwest,America/Chicago
901,US-Midwest,America/Chicago
902,US-Midwest,America/Chicago
903,US-Midwest,America/Chicago
904,US-East,America/Chicago
905,US-West,America/Chicago
906,US-West,America/Chicago
907,US-East,America/Chicago
908,US-Midwest,America/Chicago
909,US-West,America/Chicago
910,US-East,America/Chicago
911,US-Midwest,America/Chicago
912,US-East,America/Chicago
913,US-West,America/Chicago
914,US-West,America/Chicago
915,US-East,America/Chicago
916,US-Midwest,America/Chicago
917,US-East,America/Chicago
918,US-East,America/Chicago
919,US-West,America/Chicago
920,US-West,America/Chicago
921,US-West,America/Chicago
922,US-West,America/Chicago
923,US-East,America/Chicago
924,US-West,America/Chicago
925,US-East,America/Chicago
926,US-West,America/Chicago
927,US-Midwest,America/Chicago
928,US-Midwest,America/Chicago
929,US-East,America/Chicago
930,US-East,America/Chicago
931,US-East,America/Chicago
932,US-West,America/Chicago
933,US-Midwest,America/Chicago
934,US-Midwest,America/Chicago
935,US-West,America/Chicago
936,US-East,America/Chicago
937,US-East,America/Chicago
938,US-Midwest,America/Chicago
939,US-East,America/Chicago
940,US-East,America/Chicago
941,US-Midwest,America/Chicago
942,US-Midwest,America/Chicago
943,US-Midwest,America/Chicago
944,US-Midwest,America/Chicago
945,US-West,America/Chicago
946,US-West,America/Chicago
947,US-Midwest,America/Chicago
948,US-Midwest,America/Chicago
949,US-Midwest,America/Chicago
950,US-East,America/Chicago
951,US-Midwest,America/Chicago
952,US-East,America/Chicago
953,US-West,America/Chicago
954,US-East,America/Chicago
955,US-East,America/Chicago
956,US-West,America/Chicago
957,US-Midwest,America/Chicago
958,US-West,America/Chicago
959,US-East,America/Chicago
960,US-Midwest,America/Chicago
961,US-Midwest,America/Chicago
962,US-East,America/Chicago
963,US-Midwest,America/Chicago
964,US-East,America/Chicago
965,US-West,America/Chicago
966,US-West,America/Chicago
967,US-West,America/Chicago
968,US-East,America/Chicago
969,US-East,America/Chicago
970,US-Midwest,America/Chicago
971,US-West,America/Chicago
972,US-East,America/Chicago
973,US-East,America/Chicago
974,US-Midwest,America/Chicago
975,US-West,America/Chicago
976,US-East,America/Chicago
977,US-East,America/Chicago
978,US-West,America/Chicago
979,US-East,America/Chicago
980,US-East,America/Chicago
981,US-West,America/Chicago
982,US-East,America/Chicago
983,US-East,America/Chicago
984,US-East,America/Chicago
985,US-East,America/Chicago
986,US-West,America/Chicago
987,US-East,America/Chicago
988,US-West,America/Chicago
989,US-West,America/Chicago
990,US-West,America/Chicago
991,US-East,America/Chicago
992,US-West,America/Chicago
993,US-East,America/Chicago
994,US-East,America/Chicago
995,US-Midwest,America/Chicago
996,US-West,America/Chicago
997,US-Midwest,America/Chicago
998,US-West,America/Chicago
999,US-East,America/Chicago
1000,US-West,America/Chicago
